SettoreMerceologico,Insegna,TipoVia,Via,Civico,CodiceVia,ZD,SuperficieVendita,SuperficieAltriUsi,SuperficieTotale,TipoAccesso,Isolato
Settore non alimentare,Non presente,Viale,TESTI FULVIO,260,1441,9,530.0,2240.0,2770.0,accesso esterno,45
Settore non alimentare,Non presente,Viale,TIBALDI,3,5234,5,280.0,0.0,280.0,accesso esterno,160
Settore non alimentare,Non presente,Viale,UMBRIA,126,3145,4,490.0,0.0,490.0,accesso interno,260
Settore non alimentare,2f climatizzazione,Via,INGANNI ANGELO,64,6672,6,264.0,36.0,300.0,accesso esterno,55
Settore non alimentare,abbigliamento bambino,Via,BALZARETTI GIUSEPPE,28,2197,3,268.0,0.0,268.0,accesso esterno,109
Settore non alimentare,a. bellomi,Via,LOMELLINA,64,3280,4,400.0,500.0,900.0,accesso interno,219
Settore non alimentare,aber crombie e fich,Corso,MATTEOTTI GIACOMO,12,218,1,1496.0,690.0,2186.0,accesso esterno,316
Settore non alimentare,ader,Via,SANTA MARIA ALLA PORTA,1,620,1,310.0,150.0,460.0,accesso esterno,346
Settore non alimentare,a.foppapedretti l albero,Via,MAMBRETTI ANTONIO,9,7455,8,506.0,0.0,506.0,accesso esterno,118
Settore non alimentare,aica concessionaria fiat,Via,SISMONDI GIANCARLO,70,3256,4,400.0,0.0,400.0,accesso esterno,164
Settore non alimentare,alberto germani sportrend,Corso,VERCELLI,3,6193,7,464.0,142.0,606.0,accesso interno,236
Settore non alimentare,alviero martini,Corso,MATTEOTTI GIACOMO,1,218,1,400.0,135.0,535.0,Non specificato,362
Settore non alimentare,angelo cattaneo arredamen,Corso,SAN GOTTARDO,19,5203,5,300.0,200.0,500.0,accesso interno,95
Settore non alimentare,antiquario,Via,SAN PAOLO,1,212,1,406.0,0.0,406.0,accesso esterno,349
Settore non alimentare,arc linea,Piazza,MENTANA,3,560,1,257.0,0.0,257.0,accesso esterno,349
Settore non alimentare,argenteria dabbene,Largo,TREVES CLAUDIO,2,1026,1,280.0,180.0,460.0,accesso esterno,247
Settore non alimentare,armani/armani jeans,Via,MANZONI ALESSANDRO,31,230,1,409.0,0.0,409.0,accesso esterno,254
Settore non alimentare,armani/emporio armani,Via,MANZONI ALESSANDRO,31,230,1,465.0,0.0,465.0,accesso esterno,254
Settore non alimentare,armani giorgio retail srl,Via,MANZONI ALESSANDRO,31,230,1,257.0,0.0,257.0,accesso esterno,254
Settore non alimentare,armani junior,Via,DURINI,24,313,1,748.0,152.0,900.0,accesso esterno,317
Settore non alimentare,arona spa-alfaromeo fiat,Via,ARONA,15,7169,8,300.0,0.0,300.0,accesso esterno,311
Settore non alimentare,arredamenti mobili,Via,PRINETTI LUIGI,44,2329,2,659.0,0.0,659.0,accesso esterno,282
Settore non alimentare,artemide,Corso,MONFORTE,19,348,1,320.0,77.0,397.0,accesso esterno,190
Settore non alimentare,aspesi,Via,MONTE NAPOLEONE,13,219,1,580.0,80.0,660.0,accesso esterno,314
Settore non alimentare,autogiolli,Via,MEDA GIUSEPPE,27,5242,5,450.0,0.0,450.0,accesso esterno,2
Settore non alimentare,autogrill,Via,FOSCOLO UGO,1,205,1,400.0,0.0,400.0,accesso esterno,471
Settore non alimentare,autoplanet,Via,DEI MISSAGLIA,89,5340,5,1323.0,3969.0,5292.0,accesso esterno,86
Settore non alimentare,autoriparazioni salvioni,Via,ARIMONDI GIUSEPPE,55,7179,8,256.0,300.0,556.0,accesso esterno,308
Settore non alimentare,autosport milano,Via,MESSINA,43,7211,8,350.0,100.0,450.0,accesso esterno,20
Settore non alimentare,avalon,Via,SETTEMBRINI LUIGI,20,2127,3,400.0,0.0,400.0,accesso esterno,56
Settore non alimentare,b 612,Via,VASARI GIORGIO,2,4070,4,823.0,0.0,823.0,accesso esterno,165
Settore non alimentare,baby mix srl.,Viale,REGINA MARGHERITA,9,3059,1,475.0,170.0,645.0,accesso esterno,36
Settore non alimentare,balloon,Via,GIULINI GIORGIO,2,613,1,720.0,294.0,1014.0,accesso esterno,371
Settore non alimentare,banner,Via,SANT' ANDREA,8,222,1,386.0,0.0,386.0,accesso esterno,261
Settore non alimentare,bardelli,Corso,MAGENTA,13,604,1,747.0,86.0,833.0,accesso esterno,343
Settore non alimentare,bassetti,Via,BOTTA CARLO,7,4069,4,600.0,0.0,600.0,accesso esterno,163
Settore non alimentare,bassetti,Via,PROCACCINI GIULIO CESARE,32,7204,8,300.0,0.0,300.0,accesso esterno,54
Settore non alimentare,bellani,Via,MOROSINI EMILIO,7,3073,4,265.0,0.0,265.0,accesso esterno,46
Settore non alimentare,belmonte camiciaio italia,Via,SETTEMBRINI LUIGI,11,2127,2,295.0,0.0,295.0,accesso esterno,73
Settore non alimentare,benetton,Largo,CORSIA DEI SERVI,11,234,1,916.0,27.0,943.0,accesso esterno,360
Settore non alimentare,bernardi abbigliamento,Via,BASSI UGO,5,1143,9,371.0,0.0,371.0,accesso esterno,257
Settore non alimentare,bershka,Corso,VITTORIO EMANUELE II,22,214,1,1341.0,1311.0,2652.0,accesso esterno,356
Settore non alimentare,bershka,Via,SPADARI,1,518,1,384.0,311.0,695.0,accesso esterno,440
Settore non alimentare,betta e cereda srl,Via,MARCO BRUTO,16,3322,4,1200.0,1500.0,2700.0,accesso esterno,55
Settore non alimentare,blue basic,Via,TORINO,51,543,1,330.0,64.0,394.0,accesso esterno,397
Settore non alimentare,boggi,Via,DURINI,28,313,1,650.0,0.0,650.0,accesso esterno,318
Settore non alimentare,boggi milano e brian berr,Via,CARETTA ANNIBALE,1,2241,3,410.0,0.0,410.0,accesso esterno,8
Settore non alimentare,borghi,Corso,VERCELLI,38,6193,7,350.0,0.0,350.0,accesso esterno,215
Settore non alimentare,boss hugo boss,Corso,MATTEOTTI GIACOMO,11,218,1,420.0,0.0,420.0,accesso esterno,263
Settore non alimentare,brandy,Via,S. GIOV. SUL MURO,18,609,1,380.0,0.0,380.0,accesso esterno,291
Settore non alimentare,brico io,Via,PITAGORA,7,2405,2,1200.0,0.0,1200.0,accesso esterno,15
Settore non alimentare,brico io,Via,QUARENGHI GIACOMO,23,7478,8,1125.0,0.0,1125.0,accesso interno,300
Settore non alimentare,bruno castoldi,Corso,LODI,6,4068,5,1106.0,0.0,1106.0,accesso esterno,192
Settore non alimentare,buffwtti,Foro,BUONAPARTE,53,711,1,400.0,1000.0,1400.0,accesso esterno,238
Settore non alimentare,burberry italy retail lim,Via,BIGLI,2,224,1,750.0,332.0,1082.0,accesso esterno,342
Settore non alimentare,buscemi dischi,Corso,MAGENTA,31,604,1,258.0,0.0,258.0,accesso esterno,341
Settore non alimentare,cai,Via,MEDA GIUSEPPE,16,5242,5,294.0,0.0,294.0,accesso esterno,160
Settore non alimentare,caractere,Via,PASSARELLA,4,298,1,300.0,180.0,480.0,accesso esterno,386
Settore non alimentare,cargo (high-tech srl),Via,MEUCCI ANTONIO,41,2497,2,1244.0,2356.0,3600.0,accesso esterno,158
Settore non alimentare,carretti hi-tech,Via,LOSANNA,46,7190,8,325.0,0.0,325.0,accesso esterno,31
Settore non alimentare,car village,Via,GRASSI GIOVANNI BATTISTA,98,7465,8,1899.0,5697.0,7596.0,accesso esterno,62
Settore non alimentare,castoldi,Viale,MONZA,204,2274,2,956.0,0.0,956.0,accesso esterno,102
Settore non alimentare,cavi by nico,Piazza,MEDA FILIPPO,3,211,1,295.0,160.0,455.0,accesso esterno,363
Settore non alimentare,cdc poin spa,Via,MONTALBINO,4,1340,9,500.0,0.0,500.0,accesso interno,79
Settore non alimentare,celio,Galleria,BUENOS AIRES,9,2146,3,298.0,0.0,298.0,accesso esterno,60
Settore non alimentare,celio,Via,AGNELLO,2,209,1,320.0,153.0,473.0,accesso esterno,385
Settore non alimentare,centro marmitte,Via,IMPERIA,33,5266,6,550.0,0.0,550.0,accesso esterno,50
Settore non alimentare,centro moda l E m,Via,ORNATO LUIGI,148,1591,9,430.0,0.0,430.0,accesso interno,34
Settore non alimentare,cervi arredamenti,Corso,MONFORTE,19,348,1,500.0,100.0,600.0,accesso interno,994
Settore non alimentare,chateau d ax,Corso,LODI,38,4068,5,1480.0,0.0,1480.0,accesso esterno,200
Settore non alimentare,chateau d ax,Corso,LODI,47,4068,4,600.0,200.0,800.0,accesso esterno,182
Settore non alimentare,christian dior,Via,MONTE NAPOLEONE,12,219,1,366.0,0.0,366.0,accesso esterno,260
Settore non alimentare,citroen,Via,LIPARI,9,6203,7,410.0,0.0,410.0,accesso esterno,273
Settore non alimentare,coeco elettro zanoni,Via,RISMONDO FRANCESCO,1,6756,7,360.0,0.0,360.0,accesso esterno,137
Settore non alimentare,co. import,Piazza,DIAZ ARMANDO,6,339,1,468.0,57.0,525.0,accesso esterno,448
Settore non alimentare,collezioni g. armani,Via,MONTE NAPOLEONE,2,219,1,610.0,0.0,610.0,accesso esterno,317
Settore non alimentare,collezioni g. armani,Via,MONTE NAPOLEONE,2,219,1,1092.0,538.0,1630.0,accesso esterno,263
Settore non alimentare,combipel,Via,CUNEO,4,6281,7,500.0,1030.0,1530.0,accesso esterno,214
Settore non alimentare,conbipel,Corso,BUENOS AIRES,64,2129,3,465.0,87.0,552.0,accesso esterno,38
Settore non alimentare,concessionari ricamb.fiat,Via,GAMBOLOITA,4,4160,4,305.0,300.0,605.0,accesso esterno,52
Settore non alimentare,concess.lancia saicar,Viale,ESPINASSE CARLO,110,7390,8,350.0,0.0,350.0,accesso esterno,194
Settore non alimentare,cornegliani,Via,MONTE NAPOLEONE,12,219,1,324.0,0.0,324.0,accesso esterno,260
Settore non alimentare,corso europa emporio casa,Corso,EUROPA,2,300,1,540.0,80.0,620.0,accesso esterno,319
Settore non alimentare,da driade,Via,MANZONI ALESSANDRO,30,230,1,872.0,20.0,892.0,accesso esterno,255
Settore non alimentare,darty,Via,F.LLI BRONZETTI,37,3089,4,986.0,0.0,986.0,accesso esterno,40
Settore non alimentare,darty,Viale,MURILLO S.B.,5,6551,7,1100.0,900.0,2000.0,accesso esterno,255
Settore non alimentare,darty,Viale,SABOTINO,28,4046,5,720.0,0.0,720.0,accesso esterno,112
Settore non alimentare,datch,Via,TORINO,34,543,1,276.0,35.0,311.0,accesso esterno,441
Settore non alimentare,d. E  g.,Corso,VENEZIA,15,238,1,713.0,480.0,1193.0,accesso esterno,189
Settore non alimentare,d. E  g.,Via,DELLA SPIGA,26,226,1,898.0,280.0,1178.0,accesso esterno,184
Settore non alimentare,d. E  g.,Corso,VENEZIA,7,238,1,656.0,211.0,867.0,accesso esterno,261
Settore non alimentare,della fonte,Corso,VERCELLI,35,6193,7,400.0,60.0,460.0,accesso esterno,235
Settore non alimentare,denicar spa.,Via,BISCEGLIE,92,6707,6,847.0,0.0,847.0,accesso esterno,53
Settore non alimentare,dev,Corso,VERCELLI,8,6193,7,281.0,0.0,281.0,accesso esterno,217
Settore non alimentare,diecidecimi spazi moda,Corso,BUENOS AIRES,36,2129,3,398.0,242.0,640.0,accesso interno,79
Settore non alimentare,docks dora,Via,TOFFETTI VINCENZO,9,4188,4,393.0,0.0,393.0,accesso interno,74
Settore non alimentare,dolce e gabbana,Via,DELLA SPIGA,2,226,1,392.0,0.0,392.0,accesso esterno,189
Settore non alimentare,dolomiti sport,Piazza,DEL DUOMO,17,1,1,286.0,0.0,286.0,accesso esterno,436
Settore non alimentare,ecliss,Ripa,DI PTA TICINESE,73,5150,6,300.0,0.0,300.0,accesso interno,68
Settore non alimentare,ecliss top garden,Ripa,DI PTA TICINESE,73,5150,6,270.0,0.0,270.0,accesso esterno,68
Settore non alimentare,edil piave srl,Via,CAMOZZI GABRIELE,7,6769,7,340.0,1660.0,2000.0,accesso esterno,133
Settore non alimentare,elettrica ceriani/murrina,Viale,CERTOSA,177,7174,8,391.0,0.0,391.0,accesso esterno,222
Settore non alimentare,e.manfredini-forniture id,Via,FERRARIS GALILEO,7,7237,8,500.0,0.0,500.0,accesso esterno,19
Settore non alimentare,emporio del libro,Galleria,BUENOS AIRES,13,2146,3,430.0,30.0,460.0,accesso esterno,60
Settore non alimentare,emporio isola,Via,PRINA GIUSEPPE,11,7135,8,400.0,0.0,400.0,accesso interno,102
Settore non alimentare,energia,Via,TORINO,19,543,1,550.0,200.0,750.0,accesso esterno,446
Settore non alimentare,etro,Via,MONTE NAPOLEONE,5,219,1,365.0,0.0,365.0,accesso esterno,315
Settore non alimentare,euroarredi,Via,PASTORELLI GIOVANNI,19,5274,6,1200.0,15.0,1215.0,accesso esterno,61
Settore non alimentare,euromics galimberti,Corso,BUENOS AIRES,64,2129,3,1100.0,0.0,1100.0,accesso esterno,27
Settore non alimentare,euromics galimberti,Via,SOLARI ANDREA,5,5111,6,1157.0,0.0,1157.0,accesso esterno,26
Settore non alimentare,euronics,Viale,VITTORIO VENETO,20,2107,2,481.0,0.0,481.0,accesso esterno,134
Settore non alimentare,euronics point,Viale,ARETUSA,37,6565,7,270.0,63.0,333.0,accesso esterno,3
Settore non alimentare,evolution,Via,LACAITA GIACOMO FILIPPO,2,4308,4,375.0,0.0,375.0,accesso interno,76
Settore non alimentare,femi rinaldi sonepar,Via,SOTTOCORNO PASQUALE,52,3152,4,350.0,0.0,350.0,accesso esterno,19
Settore non alimentare,ferrari,Piazza,DEL LIBERTY,8,98,1,596.0,244.0,840.0,accesso esterno,361
Settore non alimentare,fiat succ. vendita assist,Via,GROSIO,9,7483,8,675.0,17183.0,17858.0,accesso esterno,202
Settore non alimentare,fined finanz.editoriale,Piazza,PIEMONTE,2,6254,7,1973.0,827.0,2800.0,Non specificato,133
Settore non alimentare,finporte snc,Via,WILDT ADOLFO,2,2554,3,340.0,52.0,392.0,accesso interno,18
Settore non alimentare,f.lli civeni ass. e vend.,Via,CORREGGIO,8,6287,7,498.0,70.0,568.0,accesso interno,173
Settore non alimentare,flli fumagalli garden,Via,BOLZANO,1,2312,2,382.0,0.0,382.0,accesso esterno,120
Settore non alimentare,f.lli simoni snc.,Viale,MONZA,258,2274,2,550.0,0.0,550.0,accesso esterno,40
Settore non alimentare,fondamentali,Via,MANZONI ALESSANDRO,12,230,1,349.0,0.0,349.0,accesso esterno,363
Settore non alimentare,fondazione metropolitan,Via,SANT' EUFEMIA,25,405,1,550.0,0.0,550.0,accesso esterno,271
Settore non alimentare,fontana arredamenti,Via,VIGEVANO,22,5116,6,256.0,0.0,256.0,accesso esterno,52
Settore non alimentare,frette,Corso,VERCELLI,23,6193,7,340.0,55.0,395.0,accesso esterno,235
Settore non alimentare,frette,Via,ANDEGARI,18,120,1,480.0,0.0,480.0,accesso esterno,296
Settore non alimentare,frigerio gomme,Piazzale,SUSA,12,3101,4,400.0,20.0,420.0,accesso esterno,214
Settore non alimentare,frigerio pellicce,Corso,BUENOS AIRES,41,2129,3,500.0,0.0,500.0,accesso esterno,59
Settore non alimentare,fulgida srl,Via,LEPONTINA,2,1147,9,968.0,500.0,1468.0,accesso interno,205
Settore non alimentare,gabbai,Via,PISANI VITTOR,8,1201,2,350.0,0.0,350.0,accesso esterno,93
Settore non alimentare,galbiati arreda,Viale,CERTOSA,21,7174,8,1016.0,0.0,1016.0,accesso esterno,330
Settore non alimentare,galleria carla sozzani,Corso,COMO,10,1111,9,550.0,0.0,550.0,accesso interno,322
Settore non alimentare,garage porpora autofficin,Via,TEODOSIO,55,2550,3,300.0,350.0,650.0,accesso esterno,15
Settore non alimentare,gbc componenti elettronic,Corso,BUENOS AIRES,55,2129,3,288.0,0.0,288.0,accesso esterno,35
Settore non alimentare,gb sportelli,Corso,BUENOS AIRES,23,2129,3,381.0,64.0,445.0,accesso esterno,78
Settore non alimentare,geco sanitari,Via,SAN MAMETE,54,2413,2,548.0,0.0,548.0,accesso esterno,142
Settore non alimentare,germani sport,Corso,VERCELLI,18,6193,7,780.0,156.0,936.0,accesso esterno,216
Settore non alimentare,germani sport,Piazzetta,PATTARI,4,299,1,954.0,0.0,954.0,accesso esterno,387
Settore non alimentare,germani sport,Viale,TROYA CARLO,5,5140,6,475.0,0.0,475.0,accesso esterno,23
Settore non alimentare,giacomelli sport,Piazza,ARGENTINA,4,2233,3,891.0,259.0,1150.0,accesso esterno,19
Settore non alimentare,giaguaro srl,Viale,CASSALA,61,5275,6,400.0,400.0,800.0,accesso esterno,67
Settore non alimentare,gianfranco ferre,Via,SANT' ANDREA,15,222,1,289.0,0.0,289.0,accesso esterno,260
Settore non alimentare,gianni campagna,Via,PALESTRO,24,2102,1,500.0,0.0,500.0,accesso esterno,95
Settore non alimentare,gio moretti jenny,Via,DELLA SPIGA,4,226,1,745.0,0.0,745.0,accesso esterno,189
Settore non alimentare,giorgio armani,Via,SANT' ANDREA,9,222,1,1040.0,724.0,1764.0,accesso esterno,260
Settore non alimentare,giovenzana,Largo,AUGUSTO,10,315,1,273.0,41.0,314.0,accesso esterno,267
Settore non alimentare,giussani,Via,ROSSI PELLEGRINO,80,1510,9,499.0,0.0,499.0,accesso esterno,183
Settore non alimentare,gold market,Via,GUINIZELLI GUIDO,22,2281,2,480.0,210.0,690.0,accesso esterno,348
Settore non alimentare,golf house,Via,GALLARATE,221,7420,8,400.0,0.0,400.0,accesso esterno,179
Settore non alimentare,gottardo sport,Corso,SAN GOTTARDO,19,5203,5,283.0,0.0,283.0,accesso esterno,95
Settore non alimentare,grimaldi motors,Via,FERRUCCI FRANCESCO,6,7150,8,380.0,44.0,424.0,accesso esterno,85
Settore non alimentare,gucci,Via,MONTE NAPOLEONE,5,219,1,1482.0,947.0,2429.0,accesso esterno,315
Settore non alimentare,guess,Galleria,SAN BABILA,4,360,1,450.0,50.0,500.0,accesso esterno,264
Settore non alimentare,guess,Via,DANTE ALIGHIERI,7,612,1,311.0,174.0,485.0,accesso esterno,375
Settore non alimentare,guess,Via,MELZO,36,2184,3,320.0,0.0,320.0,accesso esterno,140
Settore non alimentare,gusella,Corso,VITTORIO EMANUELE II,37,214,1,280.0,0.0,280.0,accesso esterno,316
Settore non alimentare,hass dal 1811,Via,MEDA GIUSEPPE,52,5242,5,380.0,0.0,380.0,accesso esterno,8
Settore non alimentare,hb casa,Viale,MONTE CENERI,75,7176,8,417.0,0.0,417.0,accesso esterno,331
Settore non alimentare,h  E  m,Corso,VITTORIO EMANUELE II,1,214,1,950.0,329.0,1279.0,accesso esterno,419
Settore non alimentare,h.e m. abbigliamento,Galleria,PASSARELLA,1,303,1,1708.0,492.0,2200.0,accesso esterno,360
Settore non alimentare,hermes,Via,SANT' ANDREA,21,222,1,317.0,196.0,513.0,accesso esterno,260
Settore non alimentare,hi-fi,Piazza,DE ANGELI ERNESTO,1,6276,7,290.0,0.0,290.0,accesso esterno,218
Settore non alimentare,iceberg,Via,MONTE NAPOLEONE,10,219,1,271.0,0.0,271.0,accesso esterno,260
Settore non alimentare,idea bricolage,Via,MAFFUCCI ANGIOLO,4,1276,9,390.0,0.0,390.0,accesso esterno,63
Settore non alimentare,il bagno ideale,Via,SAN SISTO,3,513,1,254.0,0.0,254.0,accesso esterno,335
Settore non alimentare,il caminetto,Via,ENNIO,6,4090,4,269.0,0.0,269.0,accesso esterno,121
Settore non alimentare,il libraccio,Via,SANTA TECLA,5,321,1,260.0,0.0,260.0,accesso esterno,389
Settore non alimentare,il pentagono,Viale,LIGURIA,40,5264,6,600.0,0.0,600.0,accesso esterno,157
Settore non alimentare,interno ipercoop,Via,QUARENGHI GIACOMO,23,7478,8,390.0,0.0,390.0,accesso interno,300
Settore non alimentare,jannelli e volpi,Via,MELZO,7,2184,3,300.0,0.0,300.0,accesso esterno,150
Settore non alimentare,jil sander,Via,VERRI PIETRO,6,223,1,400.0,0.0,400.0,accesso esterno,362
Settore non alimentare,just cavalli,Via,DELLA SPIGA,30,226,1,343.0,149.0,492.0,accesso esterno,184
Settore non alimentare,koivu,Corso,EUROPA,12,300,1,770.0,0.0,770.0,accesso esterno,317
Settore non alimentare,la casa italiana,Viale,ELVEZIA,22,7085,1,309.0,357.0,666.0,area aperta recintata,126
Settore non alimentare,la libreria dei ragazzi,Via,TADINO ALESSANDRO,53,2109,3,300.0,300.0,600.0,accesso esterno,66
Settore non alimentare,lalique,Corso,MATTEOTTI GIACOMO,3,218,1,252.0,10.0,262.0,accesso esterno,362
Settore non alimentare,lancia,Via,MEDA GIUSEPPE,11,5242,5,550.0,0.0,550.0,accesso esterno,130
Settore non alimentare,land rover,Piazza,NAPOLI,2,5131,6,741.0,0.0,741.0,accesso esterno,1
Settore non alimentare,la rinascente,Via,SANTA RADEGONDA,10,208,1,1490.0,0.0,1490.0,accesso esterno,419
Settore non alimentare,la rinascente,Corso,VITTORIO EMANUELE II,11,214,1,280.0,0.0,280.0,accesso esterno,419
Settore non alimentare,larusmiani,Via,VERRI PIETRO,10,223,1,500.0,0.0,500.0,accesso esterno,183
Settore non alimentare,le copen,Via,MANZONI ALESSANDRO,21,230,1,351.0,170.0,521.0,accesso esterno,313
Settore non alimentare,libero srl.,Via,OSOPPO,21,6596,7,317.0,0.0,317.0,accesso interno,1
Settore non alimentare,libreria del corso,Corso,BUENOS AIRES,51,2129,3,666.0,121.0,787.0,accesso esterno,44
Settore non alimentare,libreria egea,Via,BOCCONI FERDINANDO,8,4050,5,733.0,0.0,733.0,accesso esterno,102
Settore non alimentare,libreria esoterica,Galleria,UNIONE,1,510,1,300.0,0.0,300.0,accesso esterno,470
Settore non alimentare,libreria intern. cavour,Piazza,CAVOUR,1,237,1,290.0,80.0,370.0,accesso esterno,93
Settore non alimentare,libreria rizzoli,Galleria,VITTORIO EMANUELE,79,10,1,1015.0,285.0,1300.0,accesso esterno,415
Settore non alimentare,libreria san paolo,Piazza,DEL DUOMO,20,1,1,406.0,158.0,564.0,accesso interno,420
Settore non alimentare,libri e cose,Via,QUARENGHI GIACOMO,23,7478,8,263.0,2.0,265.0,accesso interno,300
Settore non alimentare,liu.jo,Corso,VITTORIO EMANUELE II,30,214,1,277.0,0.0,277.0,accesso esterno,360
Settore non alimentare,louis vuitton,Via,MONTE NAPOLEONE,2,219,1,1026.0,506.0,1532.0,accesso esterno,263
Settore non alimentare,lucky music strumenti m.,Via,SODERINI LUIGI,54,6675,6,488.0,0.0,488.0,accesso esterno,58
Settore non alimentare,magia 2,Via,GUINTELLINO GUGLIELMO,26,5369,6,333.0,0.0,333.0,accesso esterno,27
Settore non alimentare,mango,Via,TORINO,21,543,1,748.0,452.0,1200.0,accesso esterno,446
Settore non alimentare,marco polo expert,Via,CANONICA LUIGI,55,7121,1,1000.0,908.0,1908.0,accesso esterno,112
Settore non alimentare,marina rinaldi,Galleria,PASSARELLA,2,303,1,600.0,0.0,600.0,accesso esterno,360
Settore non alimentare,marionnaud parfumeries,Viale,MONZA,2,2274,2,344.0,204.0,548.0,accesso esterno,352
Settore non alimentare,master special,Via,QUARENGHI GIACOMO,23,7478,8,290.0,0.0,290.0,accesso interno,300
Settore non alimentare,matuella,Via,CASTALDI PANFILO,41,2119,3,380.0,250.0,630.0,accesso esterno,131
Settore non alimentare,max  E  co,Piazza,DEL LIBERTY,4,98,1,746.0,0.0,746.0,accesso esterno,361
Settore non alimentare,max  E  co,Via,DANTE ALIGHIERI,7,612,1,270.0,0.0,270.0,accesso esterno,375
Settore non alimentare,max  E  co,Corso,GENOVA,16,5164,1,585.0,173.0,758.0,accesso esterno,218
Settore non alimentare,maxmara,Piazza,SAN BABILA,5,216,1,1039.0,310.0,1349.0,accesso esterno,261
Settore non alimentare,maxmara,Piazza,DEL LIBERTY,4,98,1,1415.0,710.0,2125.0,accesso esterno,361
Settore non alimentare,m.c. selvini,Via,POERIO CARLO,3,3181,3,508.0,292.0,800.0,accesso esterno,175
Settore non alimentare,meazza,Via,SAN SISTO,9,513,1,470.0,350.0,820.0,accesso esterno,335
Settore non alimentare,media world,Piazzale,LODI,3,4249,4,1981.0,750.0,2731.0,accesso interno,181
Settore non alimentare,media world,Via,LORENTEGGIO,230,5132,6,930.0,436.0,1366.0,accesso esterno,51
Settore non alimentare,media world,Viale,TROYA CARLO,18,5140,6,2350.0,8850.0,11200.0,accesso interno,166
Settore non alimentare,melablu,Piazzale,LODI,3,4249,4,820.0,203.0,1023.0,accesso esterno,151
Settore non alimentare,melablu,Via,OROPA,4,2381,2,1107.0,143.0,1250.0,accesso esterno,15
Settore non alimentare,melchionni diffusione,Via,PINDARO,7,2401,2,470.0,42.0,512.0,accesso esterno,33
Settore non alimentare,mercato dell usato,Via,CAPECELATRO ALFONSO,9,6575,7,255.0,0.0,255.0,accesso esterno,278
Settore non alimentare,mercedes benz,Via,DAIMLER GOTTLIEB WILHELM,1,7587,8,958.0,6707.0,7665.0,accesso esterno,122
Settore non alimentare,mercedes benz milano,Via,PADOVA,15,2275,2,450.0,0.0,450.0,accesso esterno,352
Settore non alimentare,mercedes benz milano,Via,TITO LIVIO,30,4086,4,255.0,0.0,255.0,accesso esterno,146
Settore non alimentare,midas,Via,LORENTEGGIO,264,5132,6,607.0,0.0,607.0,accesso esterno,86
Settore non alimentare,milano star mercedes benz,Via,TITO LIVIO,28,4086,4,277.0,0.0,277.0,accesso esterno,146
Settore non alimentare,mitsubishi motors,Viale,CERTOSA,148,7174,8,485.0,0.0,485.0,accesso esterno,220
Settore non alimentare,mobili cucine divani,Via,LEONCAVALLO RUGGERO,17,2389,2,1000.0,0.0,1000.0,accesso esterno,114
Settore non alimentare,mobili vercesi,Viale,MONZA,23,2274,2,395.0,75.0,470.0,accesso esterno,346
Settore non alimentare,mondadori informatica,Via,BERCHET GIOVANNI,2,206,1,1464.0,0.0,1464.0,accesso esterno,416
Settore non alimentare,mondadori multicenter,Via,DOGANA,2,341,1,2300.0,1908.0,4208.0,Non specificato,450
Settore non alimentare,mornata art decor,Via,MOLINO DELLE ARMI,49,591,1,270.0,0.0,270.0,accesso esterno,126
Settore non alimentare,morotti arredamenti,Viale,MONZA,75,2274,2,366.0,202.0,568.0,accesso esterno,322
Settore non alimentare,muji,Corso,BUENOS AIRES,36,2129,3,505.0,0.0,505.0,accesso esterno,79
Settore non alimentare,nadine,Galleria,PASSARELLA,2,303,1,382.0,90.0,472.0,accesso esterno,360
Settore non alimentare,natuzzi,Via,DURINI,24,313,1,748.0,152.0,900.0,accesso esterno,318
Settore non alimentare,nuova eco srl.,Via,PETROCCHI POLICARPO,36,2320,2,705.0,0.0,705.0,accesso esterno,187
Settore non alimentare,opel gerli,Viale,TESTI FULVIO,22,1441,9,1440.0,2000.0,3440.0,accesso esterno,156
Settore non alimentare,oviesse,Galleria,PASSARELLA,2,303,1,750.0,0.0,750.0,accesso esterno,360
Settore non alimentare,oviesse,Via,CANTONI GIOVANNI,7,6206,7,1000.0,0.0,1000.0,accesso esterno,188
Settore non alimentare,oviesse,Via,MONCALIERI,15,1095,9,870.0,300.0,1170.0,accesso esterno,128
Settore non alimentare,pabocar service,Via,MONVISO,34,7212,8,390.0,0.0,390.0,accesso esterno,55
Settore non alimentare,peugeot,Via,GALLARATE,199,7420,8,1495.0,0.0,1495.0,accesso esterno,202
Settore non alimentare,photodiscount,Piazza,DE ANGELI ERNESTO,3,6276,7,292.0,0.0,292.0,accesso esterno,218
Settore non alimentare,piaggio,Corso,SEMPIONE,43,7137,8,434.0,0.0,434.0,accesso esterno,83
Settore non alimentare,picking pack service,Largo,AUGUSTO,8,315,1,380.0,0.0,380.0,accesso esterno,320
Settore non alimentare,pimkie,Via,BOSCOVICH RUGGERO,58,2131,3,399.0,0.0,399.0,accesso esterno,78
Settore non alimentare,pisotti,Alzaia,NAVIGLIO GRANDE,98,5144,6,875.0,0.0,875.0,accesso interno,49
Settore non alimentare,porsche,Viale,LANCETTI VINCENZO,46,1221,9,300.0,0.0,300.0,area aperta recintata,97
Settore non alimentare,prada,Galleria,VITTORIO EMANUELE,63,10,1,720.0,0.0,720.0,accesso esterno,354
